State,County,County,State Profile,Jurisdiction Profile (R/B/M),County Profile,State Social Distancing Policy,state abbreviation,Pre-COVID Jail Population,Change,Percentage Change,Jail Incarceration Rate Per 100K,International Benchmark,Rate Reduction to Match Internatonal Norms,Add'l Jail Reduction to Match Pre-COVID Intn'l Avg,Jail rate is X time norm,Target Jail Population,Date of covid data,Jail Population (Latest),Resident population,Cases Per 100K Residents,COVID-19 Cases,Deaths Per 100K Residents,COVID-19 Deaths
Arkansas,"Saline, AR",Saline,24,R,0.7301927195,,AR,240,-76,-0.316666667,133.9464,35,-98.9464,-121.147,3.827041,42.85295,4/9/2020,164,122437,25,31,1,1
Arkansas,"Stone, AR",Stone,24,M,0.7740232313,,AR,46,-17,-0.369565217,231.8887,35,-196.889,-24.6229,6.625391,4.3771,4/9/2020,29,12506,56,7,0,0
Arkansas,"Van Buren, AR",Van Buren,24,M,0.7769784173,,AR,85,-45,-0.529411765,241.7649,35,-206.765,-34.2093,6.907568,5.79075,4/9/2020,40,16545,157,26,6,1
Arkansas,"St. Francis, AR",St. Francis,24,R,0.5580678314,,AR,67,-43,-0.641791045,96.02305,35,-61.023,-15.2521,2.743516,8.7479,4/9/2020,24,24994,124,31,0,0
California,"Alameda, CA",Alameda,-24,B,0.1581740977,,CA,2556,-618,-0.241784038,115.9556,35,-80.9556,-1353.03,3.313018,584.9652,4/9/2020,1938,1671329,44,734,1,17
California,"El Dorado, CA",El Dorado,-24,R,0.5748116254,,CA,386,-78,-0.202072539,159.7154,35,-124.715,-240.505,4.563298,67.49505,4/9/2020,308,192843,16,30,0,0
California,"Fresno, CA",Fresno,-24,R,0.4769392034,,CA,3079,-415,-0.134784021,266.6397,35,-231.64,-2314.31,7.618277,349.6854,4/9/2020,2664,999101,17,173,0,3
California,"Kings, CA",Kings,-24,R,0.5749202976,,CA,589,-110,-0.186757216,313.1947,35,-278.195,-425.471,8.94842,53.529,4/9/2020,479,152940,5,7,0,0
California,"Los Angeles, CA",Los Angeles,-24,B,0.246835443,,CA,17076,-4005,-0.234539705,130.2008,35,-95.2008,-9557.31,3.720024,3513.687,4/9/2020,13071,10039107,79,7955,2,223
California,"Marin, CA",Marin,-24,B,0.1678986272,,CA,284,-126,-0.443661972,61.04487,35,-26.0449,-67.4109,1.744139,90.5891,4/9/2020,158,258826,60,154,4,10
California,"Merced, CA",Merced,-24,R,0.4583772392,,CA,799,-112,-0.140175219,247.4071,35,-212.407,-589.812,7.068774,97.188,4/9/2020,687,277680,14,40,1,3
California,"Monterey, CA",Monterey,-24,R,0.2895015907,,CA,870,-182,-0.209195402,158.5031,35,-123.503,-536.079,4.528659,151.9214,4/9/2020,688,434061,16,71,1,3
California,"Orange, CA",Orange,-24,M,0.4591728526,,CA,5280,-1650,-0.3125,114.3058,35,-79.3058,-2518.51,3.26588,1111.492,4/9/2020,3630,3175692,34,1079,1,17
California,"Placer, CA",Placer,-24,R,0.560298826,,CA,711,-129,-0.181434599,146.1104,35,-111.11,-442.585,4.174582,139.4152,4/9/2020,582,398329,30,120,1,4
California,"Riverside, CA",Riverside,-24,M,0.4773445732,,CA,3828,-309,-0.080721003,142.4381,35,-107.438,-2654.31,4.069661,864.6911,4/9/2020,3519,2470546,52,1280,1,33
California,"San Francisco, CA",San Francisco,-24,B,0.0990516333,,CA,1238,-472,-0.381260097,86.8925,35,-51.8925,-457.458,2.482643,308.5422,4/9/2020,766,881549,83,727,1,10
California,"Santa Clara, CA",Santa Clara,-24,M,0.2218683652,,CA,3219,-789,-0.245107176,126.047,35,-91.047,-1755.25,3.601343,674.7482,4/9/2020,2430,1927852,75,1442,3,48
California,"Tehama, CA",Tehama,-24,M,0.695329087,,CA,174,11,0.063218391,284.248,35,-249.248,-162.221,8.121373,22.7794,4/9/2020,185,65084,2,1,0,0
California,"Tulare, CA",Tulare,-24,R,0.5638859556,,CA,1575,-417,-0.264761905,248.3939,35,-213.394,-994.832,7.096969,163.1683,4/9/2020,1158,466195,40,187,2,10
California,"Yuba, CA",Yuba,-24,R,0.6297093649,,CA,376,-77,-0.204787234,380.0783,35,-345.078,-271.466,10.85938,27.5338,4/9/2020,299,78668,19,15,4,3
Florida,"Alachua, FL",Alachua,5,M,0.3815513627,,FL,724,-118,-0.162983425,225.2428,35,-190.243,-511.835,6.435509,94.16505,4/9/2020,606,269043,57,154,0,0
Florida,"Bradford, FL",Bradford,5,R,0.7528089888,,FL,180,-101,-0.561111111,280.1319,35,-245.132,-69.1297,8.003769,9.87035,4/9/2020,79,28201,71,20,0,0
Florida,"Gadsden, FL",Gadsden,5,B,0.3092573754,,FL,498,-372,-0.746987952,275.9527,35,-240.953,-110.019,7.884363,15.981,4/9/2020,126,45660,24,11,0,0
Florida,"Glades, FL",Glades,5,R,0.7020408163,,FL,69,0,0,499.6018,35,-464.602,-64.1662,14.27434,4.83385,4/9/2020,69,13811,29,4,7,1
Florida,"Hamilton, FL",Hamilton,5,R,0.64453524,,FL,83,-34,-0.409638554,339.6174,35,-304.617,-43.9502,9.703355,5.0498,4/9/2020,49,14428,7,1,0,0
Florida,"Hendry, FL",Hendry,5,R,0.5734840699,,FL,181,-13,-0.071823204,399.7906,35,-364.791,-153.292,11.42259,14.7077,4/9/2020,168,42022,31,13,0,0
Florida,"Levy, FL",Levy,5,M,0.7297019527,,FL,147,-41,-0.278911565,255.4032,35,-220.403,-91.474,7.297235,14.52605,4/9/2020,106,41503,15,6,0,0
